AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP;;;;;;;;;;;
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;
COMBUSTÍVEL: TODOS;;;;;;;;;;;
TIPO RELATÓRIO: ESTADOS;;;;OBS: ATUALMENTE, O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
;;;;;;;;;;;
DATA INICIAL;DATA FINAL;REGIAO;ESTADOS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
24/08/2025;30/08/2025;NORTE;RONDONIA;GASOLINA ADITIVADA;40;R$/l;6,78;0,292;6,09;7,09;0,043
24/08/2025;30/08/2025;NORTE;RORAIMA;GASOLINA ADITIVADA;15;R$/l;7,05;0,026;6,99;7,10;0,004
24/08/2025;30/08/2025;SUL;SANTA CATARINA;GASOLINA ADITIVADA;142;R$/l;6,47;0,218;5,97;6,89;0,034
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;GASOLINA ADITIVADA;895;R$/l;6,37;0,562;5,19;9,49;0,088
24/08/2025;30/08/2025;NORDESTE;SERGIPE;GASOLINA ADITIVADA;13;R$/l;6,75;0,135;6,62;7,01;0,020
24/08/2025;30/08/2025;NORTE;TOCANTINS;GASOLINA ADITIVADA;21;R$/l;6,67;0,211;6,19;7,19;0,032
24/08/2025;30/08/2025;NORTE;ACRE;GASOLINA COMUM;6;R$/l;8,08;0,010;8,07;8,09;0,001
24/08/2025;30/08/2025;NORDESTE;ALAGOAS;GASOLINA COMUM;26;R$/l;6,15;0,078;6,09;6,49;0,013
24/08/2025;30/08/2025;NORTE;AMAPA;GASOLINA COMUM;17;R$/l;5,99;0,078;5,95;6,19;0,013
24/08/2025;30/08/2025;NORTE;AMAZONAS;GASOLINA COMUM;47;R$/l;7,03;0,494;6,98;8,29;0,070
24/08/2025;30/08/2025;NORDESTE;BAHIA;GASOLINA COMUM;121;R$/l;6,28;0,234;5,56;6,69;0,037
24/08/2025;30/08/2025;NORDESTE;CEARA;GASOLINA COMUM;111;R$/l;6,34;0,188;5,74;6,75;0,030
24/08/2025;30/08/2025;CENTRO OESTE;DISTRITO FEDERAL;GASOLINA COMUM;50;R$/l;6,45;0,127;6,02;6,58;0,020
24/08/2025;30/08/2025;SUDESTE;ESPIRITO SANTO;GASOLINA COMUM;72;R$/l;5,91;0,290;5,57;6,69;0,049
24/08/2025;30/08/2025;CENTRO OESTE;GOIAS;GASOLINA COMUM;126;R$/l;5,98;0,287;5,49;6,59;0,048
24/08/2025;30/08/2025;NORDESTE;MARANHAO;GASOLINA COMUM;74;R$/l;5,93;0,423;5,55;7,09;0,071
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO;GASOLINA COMUM;71;R$/l;6,29;0,178;5,73;6,71;0,028
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;GASOLINA COMUM;44;R$/l;5,93;0,426;5,56;6,89;0,072
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;GASOLINA COMUM;207;R$/l;6,09;0,256;5,59;6,78;0,042
24/08/2025;30/08/2025;NORTE;PARA;GASOLINA COMUM;107;R$/l;6,23;0,430;5,59;7,15;0,069
24/08/2025;30/08/2025;NORDESTE;PARAIBA;GASOLINA COMUM;50;R$/l;5,95;0,123;5,65;6,29;0,021
24/08/2025;30/08/2025;SUL;PARANA;GASOLINA COMUM;207;R$/l;6,49;0,317;5,69;6,99;0,049
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;GASOLINA COMUM;93;R$/l;6,31;0,411;5,39;7,59;0,065
24/08/2025;30/08/2025;NORDESTE;PIAUI;GASOLINA COMUM;51;R$/l;5,82;0,162;5,64;6,39;0,028
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;GASOLINA COMUM;278;R$/l;6,02;0,342;5,49;7,79;0,057
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;GASOLINA COMUM;45;R$/l;6,26;0,255;5,98;6,79;0,041
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;GASOLINA COMUM;269;R$/l;5,98;0,350;5,49;7,24;0,058
24/08/2025;30/08/2025;NORTE;RONDONIA;GASOLINA COMUM;43;R$/l;6,58;0,349;5,89;7,06;0,053
24/08/2025;30/08/2025;NORTE;RORAIMA;GASOLINA COMUM;16;R$/l;6,95;0,000;6,95;6,95;0,000
24/08/2025;30/08/2025;SUL;SANTA CATARINA;GASOLINA COMUM;157;R$/l;6,33;0,212;5,84;6,79;0,033
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;GASOLINA COMUM;1137;R$/l;6,04;0,468;5,09;8,99;0,077
24/08/2025;30/08/2025;NORDESTE;SERGIPE;GASOLINA COMUM;16;R$/l;6,64;0,031;6,62;6,69;0,005
24/08/2025;30/08/2025;NORTE;TOCANTINS;GASOLINA COMUM;34;R$/l;6,55;0,230;5,83;6,87;0,035
24/08/2025;30/08/2025;NORDESTE;ALAGOAS;GLP;26;R$/13kg;101,84;8,238;84,99;115,00;0,081
24/08/2025;30/08/2025;NORTE;AMAPA;GLP;14;R$/13kg;121,07;6,911;115,00;132,00;0,057
24/08/2025;30/08/2025;NORTE;AMAZONAS;GLP;66;R$/13kg;123,75;5,143;118,00;140,00;0,042
24/08/2025;30/08/2025;NORDESTE;BAHIA;GLP;32;R$/13kg;116,38;10,509;100,00;148,00;0,090
24/08/2025;30/08/2025;NORDESTE;CEARA;GLP;23;R$/13kg;106,73;7,241;99,98;123,00;0,068
24/08/2025;30/08/2025;CENTRO OESTE;DISTRITO FEDERAL;GLP;35;R$/13kg;102,30;5,531;92,99;112,00;0,054
24/08/2025;30/08/2025;SUDESTE;ESPIRITO SANTO;GLP;34;R$/13kg;96,95;6,643;85,99;120,00;0,069
24/08/2025;30/08/2025;CENTRO OESTE;GOIAS;GLP;61;R$/13kg;108,38;6,316;89,99;130,00;0,058
24/08/2025;30/08/2025;NORDESTE;MARANHAO;GLP;39;R$/13kg;118,59;3,469;109,99;130,00;0,029
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO;GLP;55;R$/13kg;115,97;11,218;94,99;140,00;0,097
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;GLP;47;R$/13kg;110,53;9,352;95,00;138,00;0,085
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;GLP;100;R$/13kg;104,78;12,118;85,00;142,00;0,116
24/08/2025;30/08/2025;NORTE;PARA;GLP;24;R$/13kg;112,24;5,262;104,00;120,00;0,047
24/08/2025;30/08/2025;NORDESTE;PARAIBA;GLP;30;R$/13kg;101,68;6,596;84,99;115,00;0,065
24/08/2025;30/08/2025;SUL;PARANA;GLP;81;R$/13kg;104,21;7,822;91,90;125,00;0,075
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;GLP;32;R$/13kg;94,50;6,885;80,00;115,00;0,073
24/08/2025;30/08/2025;NORDESTE;PIAUI;GLP;25;R$/13kg;104,44;4,370;100,00;115,00;0,042
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;GLP;87;R$/13kg;95,49;8,884;80,00;120,00;0,093
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;GLP;16;R$/13kg;103,00;10,577;90,00;128,00;0,103
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;GLP;72;R$/13kg;112,08;6,662;99,00;130,00;0,059
24/08/2025;30/08/2025;NORTE;RONDONIA;GLP;24;R$/13kg;118,72;5,585;107,00;130,00;0,047
24/08/2025;30/08/2025;NORTE;RORAIMA;GLP;23;R$/13kg;138,43;7,403;130,00;156,00;0,053
24/08/2025;30/08/2025;SUL;SANTA CATARINA;GLP;51;R$/13kg;118,94;8,062;104,90;135,00;0,068
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;GLP;286;R$/13kg;110,10;11,095;81,99;139,00;0,101
24/08/2025;30/08/2025;NORDESTE;SERGIPE;GLP;15;R$/13kg;103,50;4,535;96,00;110,00;0,044
24/08/2025;30/08/2025;NORTE;TOCANTINS;GLP;13;R$/13kg;124,46;5,811;110,00;130,00;0,047
